Common Name,Botanical Name,Family,Description
Grey Leaf Heliotrope,Heliotropium ovalifolium,Boraginaceae," Grey Leaf Heliotrope is a perennial herb, growing up to 3 ft tall, 
sometimes with woody base, much branched. Young branches are silvery 
velvety. Alternately arranged leaves have stalks up to 1.5 cm long. Leaf 
blade is elliptical or obovate, up to 5.5 cm x 2.5 cm, with a wedge-shaped 
base and tip which can be rounded, rounded with a small point or pointed. 
Inflorescence is a spike-like cyme, silky hairy, without bracts, with 
flowers arranged in two rows, up to 4 cm long. Flowers are white, 
bisexual, 5-merous, with almost free sepals, densely covered with hairs. 
Flower tube is funnel-shaped, up to 3 mm long, velvety outside, petals 
ovate-triangular, up to 2 mm long.  Stamens remain inside the flower tube. 
Fruit splits into 4 nutlets, densely white hairy. Flowering: July-August. "
Intermediate Mistletoe,Helixanthera intermedia,Loranthaceae," Intermediate Mistletoe is a hairless shrub growing
on trees. Leaves are ovate, blunt, leathery, base blunt, flat, or
nearly heart-shaped ; leaf-stalk 1 cm long. Flowers are borne in
racemes 7 cm long, in leaf-axils, many-flowered; flower-stalk 7 mm
long, slender, hairless. Flower buds are 4-angled and curved; petals 4,
straight, purplish pink, free to the base; stamens 4; filaments
attached below the middle of the flower; stigma spherical. Intermediate
Mistletoe is endemic to Southern Western Ghats. 
"
Bluntleaf Mistletoe,Helixanthera obtusatus,Loranthaceae," Bluntleaf Mistletoe is a shrub with branchlets
round, slender, rusty-velvety. Leaves are up to 14 x 8 cm, ovate,
obtuse, base rounded, leathery, hairless, stalk 1 cm long. Flowers are
borne in racemes up to 8 cm long, densely golden velvety, bracts with a
small appendage. Flowers are many, carried on 5 mm long, reflexed
stalks. They are dark pink, 1.8 cm long, 4-angular and curved in bud,
petals 4, free, velvety outside. Anthers are dark brown; stigma
spherical. Flowering: April-June.  
"
Wallich Mistletoe,Helixanthera wallichiana,Loranthaceae," Wallich Mistletoe is a parasitic shrub, with round
branchlets, which are warty. Flower-stalks are 3 mm long, bract adenate
to the flower-stal, spoon-shaped, ciliate. Calyx is globose, 2 mm long,
limb annular, obscure. Flowers are reddish, cylindrical in bud, lobes
4, ovate, acute, hairless. Leaves are simple, alternate and opposite,
5-10 x 3-6 cm, ovate, blunt, base narrow or rounded hairless. Lateral
nerves are 2 or 3 pairs, leaf-stalks are 0.8-2 cm long. Flowers are
borne in slender hairless racemes up to 3-6 cm long.  Berry is 6 mm
long, ovoid, rugose. Wallich Mistletoe is found in Western Ghats.
Flowering: August-September. 
"
Whip Grass,Hemarthria compressa,Poaceae," Whip Grass is a stolon-forming perennial grass with
culms up to 1 m long or more, postrate and rooting at the nodes below.
Leaf-blades are flat, 2-15 cm long, 2-5 mm wide. Flowers are borne in
racemes 2-8 cm long; internodes obliquely articulated. Stalkless
spikelet narrowly elliptic-oblong with a triangular callus; lower glume
3-4 mm long, blunt to obscurely bitoothed; upper glume pointed, as long
as the lower. Whip Grass is found in found at altitudes of 700-900 m,
in India, Nepal, Ceylon, Burma, China, Malaysia. Flowering:
July-September.  
"
Orange Daylily,Hemerocallis fulva,Liliaceae,"
Orange daylily is a popular ornamental that has escaped and is invaded natural
and disturbed areas throughout the United States. Leaves are long, grass-like,
and bright green in color. Flowers are large, showy, and orange in color.
Flowers may have spots or stripes.
Daylilies are clump forming perennials with arching, grasslike or straplike
leaves 10-40 in long, depending on the cultivar. All the leaves
arise from the base of the plant in two opposing ranks, resulting in a fanlike
appearance which becomes obscured as the clump enlarges. A leafless stalk,
called a scape, extends above the leaves and bears the flowers. Most scapes
have two or more branches, each with several flower buds. In most varieties
the flowers open one at a time, and last only one day, but the blooming period
may extend for weeks, even months.
There are hundreds of societies dedicated to the cultivation of daylilies and
the propagation of new cultivars. "
Daylily Frans Hals, Hemerocallis hybrids,Liliaceae,"
A striking flower with alternating yellow and yellow-striped red petals.
Daylilies are clump forming perennials with arching, grasslike or straplike
leaves 10-40 in long, depending on the cultivar. All the leaves
arise from the base of the plant in two opposing ranks, resulting in a fanlike
appearance which becomes obscured as the clump enlarges. A leafless stalk,
called a scape, extends above the leaves and bears the flowers. Most scapes
have two or more branches, each with several flower buds. In most varieties
the flowers open one at a time, and last only one day, but the blooming period
may extend for weeks, even months.
There are hundreds of societies dedicated to the cultivation of daylilies and
the propagation of new cultivars."
Lemon Daylily,Hemerocallis lilioasphodelus,Liliaceae," Lemon Daylily is a beautiful daylily which come from Russia, China and SE 
Europe. This species puts out 3-4 ft flowering stems, topped with dozens of 
very fragrant, narrow-petaled, lemony-yellow flowers. Petals are curved 
back. Its narrow leaves are mid-green, and grow to 2.5 ft long. In India it 
is cultivated as a garden plant. "
Scalloped Hemigraphis,Hemigraphis crenata,Acanthaceae," Scalloped Hemigraphis is a spreading, softly
white-hairy herb endemic to peninsular India. Leaves are stalked, ovate
or elliptic, with round teeth at the margins. Flowers are 1.8 cm plus,
pinkish. "
Hairy Hemigraphis,Hemigraphis hirta,Acanthaceae," Hairy Hemigraphis is a small low-growing prennial herb with beautiful 
flowers. The stems are creeping and the leaves are ovate and prominently 
hairy. The margin of the leaves us serrated towards the tip. Flowers occur in 
few flowered spikes in leaf axils. Bracts are leafy and oblong. Flowers are 
rather large for this small plant. They are bluish purple, funnel shaped. 
Like all flowers of Acanthus family, the flowers have 4 stamens.  "
Heart-Leaf Hemipilia,Hemipilia cordifolia,Orchidaceae," Heart-Leaf Hemipilia is  terrestrial orchid, 13-27 cm tall. Tubers are 
ovoid to subspherical, 1.5-4.5 cm. Stem with 1 tubular cataphyll at base, 
1-leaved. Leaf is heart-shaped to round, purplish below, and dark green 
with purple spots above, 2.5-8 × 2-6.5 cm, fleshy. Inflorescence is 11-25 
cm, with 2 or 3 lanceshaped sterile bracts. Rachis is 5-10 cm, laxly to 
subdensely 3-to more than 10-flowered. Floral bracts are lanceshaped, tip 
long-pointed. Flowers are purplish red to pink; pedicel and ovary erect,
often arcuate toward apex, 7-15 mm. Dorsal sepal is oblong to ovate-
lanceolate, 4-6 × 2-3.2 mm, 5-veined, apex obtuse. Lateral sepals are 
spreading to reflexed, oblong-ovate, falcate, 6-7 × 3.5-4 mm, 5-veined, 
tip long-poited. Petals are connivent with dorsal sepal and forming a 
hood, ovate, slightly oblique, 3.2-4.5 × 2-3 mm, 3-veined, tip somewhat 
pointed. Lip is variable in outline, 7-9 × about 5 mm, 3-lobed though 
lateral lobes sometimes reduced, adaxially finely papillate, apical margin 
usually frilly. Heart-Leaf Hemipilia is found in the Himalayas, from 
Mussourie to Nepal, at altitudes of 1800-2300 m. "
Two-Leaved Chirita,Henckelia bifolia,Gesneriaceae," Two Leaved Chirita is a perennial herb with erect stem up to 25 cm tall. 
The stem is leafless at the base during flowering, and has 2 unequal 
leaves above. Stalkless leaves are round to oval, with a heart-shaped 
base, toothed margin, thinly hairy. Flowering stems are 1-2, rarely more, 
each bearing 1-2 funnel-shaped flowers which hang looking down. Flowers 
are about 5 cm long. Bracts are oblong, hairy. Sepals are 5, hairy. 
Flowers are funnel-shaped, swollen on one side, white with golden markings 
inside. The flower-tube open into 5 rounded, blue or purple petals. Two 
Leaved Chirita is found in the Himalayas, from Himachal Pradesh to Butan, 
at altitudes of 1500-2400. Flowering: June-August. "
Multiflowered Henckelia,Henckelia collegii-sancti-thomasii,Gesneriaceae," Multiflowered Henckelia is a newly discovered (2019)
terrestrial erect herb, with stems 8-20 cm long, round, velvet-hairy,
green. Flowers are borne in leaf-axils or apparently at branch-ends,
1-10 flowers from each axil. Flower-cluster-stalk is 1.8-2.5 cm long.
Bracts are 2, 0.5-0.6 x 0.3-0.4 cm, ovate, tip pointed. Flower-stalks
are 1.7-3.3 cm long. Sepal-cup is 2.3-2.7 x 1.3-1.5 cm, 5-lobed,
divided near to base or divided from below the middle, 1.6-1.9 x
0.3-0.4 cm, linear lanceshaped, tip pointed, pale green, wooly outside
and hairless within. Flowers are 5-5.5 cm long, funnel-shaped, white,
deep violet-purple towards tip with yellow-orange throat, velvet-hairy
outside and glandular hairy inside. Flowers are bi-lipped, upper lip 2,
lower lip 3, deep violet-purple, lower lip bases with yellow color and
two orange yellow lines with purple streaky margins towards the throat,
lobes ovate with rounded tip, velvet-hairy outside and glandular hairy
within; flower tube 3.3-3.8 cm, white with orange-yellow towards
throat, velvet-hairy outside and glandular hairy within. Stamens are 2,
1-1.3 cm long, staminodes 2, with anther-like tip, 0.5-0.7 cm long.
Pistil is 2.9-3.1 cm long, pale green.	Leaves are 11-26 cm long,
opposite decussate, leaf-stalks 3-6 cm long, velvet-hairy, green.
Blades are 10-23 x 4.2-12 cm, ovate-lanceshaped, oblique, tip pointed
to tapering, base asymmetric and oblique, wedge-shaped, margin rounded
toothed, dark green above and pale beneath, lateral veins 8-12 on each
side, blade velvet-hairy on both sides. Capsules are 6.3-7 cm long,
linear. Multiflowered Henckelia is endemic to Arunachal Pradesh.
Flowering: August-December. 
"
Humboldt's Stone Flower,Henckelia humboldtiana,Gesneriaceae," Humboldt's Stone Flower is a herbs with flowers borne
on a leafless stem. It is named for Baron Alexander von Humboldt, 19th
century German geographer who explored Central and South America.
Flowering stems are few, 15-20 cm long, branched. Flower-racemes are
glandular hairy; bracts and bracteoles similar, linear. Flowers are
blue, paired, borne on flower-stalks 1.5 cm long; sepals 3.5 x 1 mm,
oblong, blunt. Flowers are 1.3 cm long, thinly hairy, mouth oblique,
petals round; staminodes hooked; ovary densely glandular-hairy, stigma
oblique, papillose. Leaves are up to 6-7 x 6 cm, broadly ovate, blunt,
rounded or heart-shaped at base, broadly rounded toothed,
bullate-woolly above, woolly beneath; nerves 5-6 pairs; leaf-stalk 5-8
cm long, wings divided. Capsule 4 x 0.2 cm, tapering, glandular hairy;
seeds ellipsoid, rugate, brown. Humboldt's Stone Flower is found in
Peninsular India and Sri Lanka. Flowering: September-November. 
"
Hairy Stone Flower,Henckelia incana,Gesneriaceae," Hairy Stone Flower is a herb with leaves elliptic,
narrowed at the base rounded toothed woolly, flower 1.2 cm, capsule 1.6
cm,sharply pointed. Flowers are blue-purple with some yellow marks,
tube is nearly 8 mm, curved, mouth very oblique. Style is thick,
hairless, stigma large, hairless. Sepals are 2-3 mm, narrowly oblong,
hairy. Ovary very hairy. Flower-cluster-stalks are 10 cm long,
many-flowered. Leaves are 7.5 x 5 cm blunt, green, hairy above, woolly
beneath, even when mature.  Leaf-stalk is 1.6 cm long.	Hairy Stone
Flower is found in Peninsular India. Flowering: May-October. 
"
Meebold's Stone Flower,Henckelia meeboldii,Gesneriaceae," Meebold's Stone Flower is a herb growing on wet
rocks in southern Western Ghats. Leaves are thin, in a basal rosette,
older leaves with elongate stalks, winged and more or less lacerate,
white-hairy especially on the nerves, younger and central leaves nearly
stalkless, more woolly, softly rusty-hairy, stalks up to 13 cm long,
narrowly winged, the wings scarcely lacerate; blades membranous, ovate,
blunt at tip, narrowed at base, prominently toothed, up to 10 x 6 cm,
lateral nerves 5-7 pairs, prominent beneath and branched. Flowers are
pale blue with yellow tube, bracts small. Calyx is small, 5-fid or
5-partite, sepals narrow. Flowers are ventricose, 2 cm long, petals 5,
rounded, flowering stem slender, up to 25 cm long in fruit. Stamens do
not protrude out. Ovary is narrow, 1-celled, sessile or stipitate.
Capsule up to 4 cm long, oblique, glabrous; seeds subtrigonous minutely
pitted. Meebold's Stone Flower is native to  Southern Western Ghats.
Flowering: October-December. 
"
Oval-Leaf Stone Flower,Henckelia ovalifolia,Gesneriaceae," Oval-Leaf Stone Flower is a stemless herb with leaves
ovate rounded toothed white-bristly on both surfaces.
Flower-cluster-stalks are 3-5-flowered, flowers broadly bell-shaped
swollen, base pouch-like. Flower-cluster-stalks are about 8 cm, sepals
4 mm. Flowers are 1.2-1.6 cm, blue-yellow, nearly hairless. Filaments
are short, anthers hairless. Ovary is hairy, style about as long as the
ovary, nearly hairless, stigma small somewhat head-like. Leaves are 7-8
x 3.5-4 cm, blunt, base rounded, shallowly rounded toothed, above
densely bristly, beneath chiefly on the nerves. Nerves are 8-12 pairs,
parallel. Leaf-stalks are long, 2.5-10 cm. Capsules are linear,
straight or somewhat oblique at the base. Oval-Leaf Stone Flower is
found in S. Deccan Peninsula, at altitudes of 1600 m. 
"
Dwarf Chirita,Henckelia pumila,Gesneriaceae," Dwarf Chirita	is an erect hairy annual herb, without
rhizome, with rather large solitary or several drooping funnel-shaped
pale purple flowers tinged with yellow, or flowers white. Stems are
erect, 6-46 cm, velvet-hairy to sparsely hairy. Flowers are hairy, 3.5
cm long, with 5 short nearly equal rounded spreading lobes. Calyx is
tubular, with dense white hairs and with narrow recurved sepals. Leaves
are broadly lanceshaped pointed. toothed, the largest 6-10 cm. Capsules
are erect, 6-12 cm. Dwarf Chirita is found in the Himalayas, from
Himachal to NE India, China, Bhutan, Myanmar, Nepal, Sikkim, Thailand,
N Vietnam, at altitudes of 800-2800 m. Flowering: July-September. 
"
